Title,URL handle,Description,Vendor,Type,Tags,Published on online store,Status,SKU,Option1 name,Option1 value,Price,Charge tax,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Gift card,product.metafields.plant.species,product.metafields.plant.light,product.metafields.plant.watering,product.metafields.plant.soil,product.metafields.plant.growing_conditions,product.metafields.plant.difficulty,product.metafields.plant.humidity,product.metafields.plant.mature_size,product.metafields.plant.pet_safety,product.metafields.plant.care_notes
Swiss Cheese Plant,swiss-cheese-plant,A classic tropical houseplant with bold split foliage and a climbing habit.,Lil Robb Plants,Houseplant,houseplant,true,active,LRP-MON-001,Default Title,Default Title,29.00,true,shopify,8,deny,0,g,true,manual,false,Monstera deliciosa,Bright indirect light,Water when the top 2 inches of soil feel dry,Chunky well draining aroid mix,Warm indoor conditions with room to climb,Moderate,Moderate to high humidity,6 to 10 ft indoors,Toxic if chewed by cats or dogs,Use a moss pole or support as stems lengthen
Golden Pothos,golden-pothos,An adaptable trailing plant with green and gold leaves that suits shelves and hanging planters.,Lil Robb Plants,Houseplant,houseplant,true,active,LRP-POT-001,Default Title,Default Title,16.00,true,shopify,15,deny,0,g,true,manual,false,Epipremnum aureum,Low to bright indirect light,Water when the top 1 to 2 inches of soil feel dry,Loose well draining houseplant mix,Average indoor temperatures away from cold drafts,Easy,Average home humidity,6 to 10 ft trailing indoors,Toxic if chewed by cats or dogs,Trim vines to encourage fuller growth
Snake Plant,snake-plant,Upright sword shaped leaves make this a durable choice for compact rooms and busy schedules.,Lil Robb Plants,Houseplant,houseplant,true,active,LRP-SNK-001,Default Title,Default Title,22.00,true,shopify,10,deny,0,g,true,manual,false,Dracaena trifasciata,Low to bright indirect light,Let the soil dry almost completely before watering,Fast draining succulent or cactus style mix,Normal indoor temperatures with dry periods between watering,Easy,Low to average humidity,2 to 4 ft indoors,Toxic if chewed by cats or dogs,Avoid leaving water in the pot or crown
ZZ Plant,zz-plant,Glossy stems and thick leaflets give this slow growing plant a polished look with little fuss.,Lil Robb Plants,Houseplant,houseplant,true,active,LRP-ZZ-001,Default Title,Default Title,24.00,true,shopify,9,deny,0,g,true,manual,false,Zamioculcas zamiifolia,Low to bright indirect light,Let most of the soil dry before watering,Well draining potting mix with added perlite,Stable indoor temperatures and infrequent watering,Easy,Average home humidity,2 to 4 ft indoors,Toxic if chewed by cats or dogs,Use a pot with drainage and do not keep the roots wet
Heartleaf Philodendron,heartleaf-philodendron,A soft trailing philodendron with heart shaped leaves that grows well on shelves or supports.,Lil Robb Plants,Houseplant,houseplant,true,active,LRP-PHI-001,Default Title,Default Title,18.00,true,shopify,12,deny,0,g,true,manual,false,Philodendron hederaceum,Medium to bright indirect light,Water when the top 1 to 2 inches of soil feel dry,Airy well draining houseplant mix,Warm conditions with protection from harsh direct sun,Easy,Moderate humidity,4 to 8 ft trailing indoors,Toxic if chewed by cats or dogs,Pinch growing tips to encourage branching
Spider Plant,spider-plant,Arching striped foliage and easy propagation make this a friendly starter plant.,Lil Robb Plants,Houseplant,houseplant,true,active,LRP-SPD-001,Default Title,Default Title,14.00,true,shopify,14,deny,0,g,true,manual,false,Chlorophytum comosum,Medium to bright indirect light,Water when the top inch of soil feels dry,General houseplant mix with good drainage,Average indoor temperatures with gentle airflow,Easy,Average home humidity,1 to 2 ft with longer runners,Generally considered non toxic to cats and dogs,Trim brown tips and remove spent plantlets as needed
Peace Lily,peace-lily,Deep green leaves and white blooms bring a lush tropical look to medium light rooms.,Lil Robb Plants,Houseplant,houseplant,true,active,LRP-PEA-001,Default Title,Default Title,20.00,true,shopify,7,deny,0,g,true,manual,false,Spathiphyllum,Medium to bright indirect light,Water when the top inch begins to dry,Moisture retentive mix with good drainage,Warm rooms with steady moisture and no harsh sun,Moderate,Moderate to high humidity,1 to 3 ft indoors,Toxic or irritating if chewed by cats or dogs,Remove spent blooms and avoid letting the root ball stay waterlogged
Rubber Plant,rubber-plant,Thick glossy leaves and an upright habit make this ficus a strong statement plant.,Lil Robb Plants,Houseplant,houseplant,true,active,LRP-RUB-001,Default Title,Default Title,28.00,true,shopify,6,deny,0,g,true,manual,false,Ficus elastica,Bright indirect light,Water when the top 2 inches of soil feel dry,Rich well draining potting mix,Stable warm conditions away from cold drafts,Moderate,Moderate humidity,6 to 10 ft indoors,Toxic or irritating if chewed by cats or dogs,Wipe leaves occasionally and rotate the pot for even growth
Fiddle-Leaf Fig,fiddle-leaf-fig,Large violin shaped leaves give this ficus the scale and structure of a statement floor plant.,Lil Robb Plants,Houseplant,houseplant,true,active,LRP-FLF-001,Default Title,Default Title,34.00,true,shopify,4,deny,0,g,true,manual,false,Ficus lyrata,Bright indirect light,Water when the top 2 inches of soil feel dry,Rich fast draining potting mix,Bright stable conditions with minimal sudden changes,Advanced,Moderate humidity,6 to 10 ft indoors,Toxic or irritating if chewed by cats or dogs,Keep light and watering routines consistent and avoid frequent moves
Chinese Money Plant,chinese-money-plant,Round coin shaped leaves on slender stems give this compact plant a playful clean silhouette.,Lil Robb Plants,Houseplant,houseplant,true,active,LRP-PILEA-001,Default Title,Default Title,19.00,true,shopify,11,deny,0,g,true,manual,false,Pilea peperomioides,Bright indirect light,Water when the top inch of soil feels dry,Light well draining houseplant mix,Bright rooms with regular rotation for even growth,Easy,Average home humidity,8 to 18 in indoors,Generally considered non toxic to cats and dogs,Rotate weekly and separate offsets when they are established
