URL handle,Title,product.metafields.plant.species,product.metafields.plant.light,product.metafields.plant.watering,product.metafields.plant.soil,product.metafields.plant.growing_conditions,product.metafields.plant.difficulty,product.metafields.plant.humidity,product.metafields.plant.mature_size,product.metafields.plant.pet_safety,product.metafields.plant.care_notes
swiss-cheese-plant,Swiss Cheese Plant,Monstera deliciosa,Bright indirect light,Water when the top 2 inches of soil feel dry,Chunky well draining aroid mix,Warm indoor conditions with room to climb,Moderate,Moderate to high humidity,6 to 10 ft indoors,Toxic if chewed by cats or dogs,Use a moss pole or support as stems lengthen
golden-pothos,Golden Pothos,Epipremnum aureum,Low to bright indirect light,Water when the top 1 to 2 inches of soil feel dry,Loose well draining houseplant mix,Average indoor temperatures away from cold drafts,Easy,Average home humidity,6 to 10 ft trailing indoors,Toxic if chewed by cats or dogs,Trim vines to encourage fuller growth
snake-plant,Snake Plant,Dracaena trifasciata,Low to bright indirect light,Let the soil dry almost completely before watering,Fast draining succulent or cactus style mix,Normal indoor temperatures with dry periods between watering,Easy,Low to average humidity,2 to 4 ft indoors,Toxic if chewed by cats or dogs,Avoid leaving water in the pot or crown
zz-plant,ZZ Plant,Zamioculcas zamiifolia,Low to bright indirect light,Let most of the soil dry before watering,Well draining potting mix with added perlite,Stable indoor temperatures and infrequent watering,Easy,Average home humidity,2 to 4 ft indoors,Toxic if chewed by cats or dogs,Use a pot with drainage and do not keep the roots wet
heartleaf-philodendron,Heartleaf Philodendron,Philodendron hederaceum,Medium to bright indirect light,Water when the top 1 to 2 inches of soil feel dry,Airy well draining houseplant mix,Warm conditions with protection from harsh direct sun,Easy,Moderate humidity,4 to 8 ft trailing indoors,Toxic if chewed by cats or dogs,Pinch growing tips to encourage branching
spider-plant,Spider Plant,Chlorophytum comosum,Medium to bright indirect light,Water when the top inch of soil feels dry,General houseplant mix with good drainage,Average indoor temperatures with gentle airflow,Easy,Average home humidity,1 to 2 ft with longer runners,Generally considered non toxic to cats and dogs,Trim brown tips and remove spent plantlets as needed
peace-lily,Peace Lily,Spathiphyllum,Medium to bright indirect light,Water when the top inch begins to dry,Moisture retentive mix with good drainage,Warm rooms with steady moisture and no harsh sun,Moderate,Moderate to high humidity,1 to 3 ft indoors,Toxic or irritating if chewed by cats or dogs,Remove spent blooms and avoid letting the root ball stay waterlogged
rubber-plant,Rubber Plant,Ficus elastica,Bright indirect light,Water when the top 2 inches of soil feel dry,Rich well draining potting mix,Stable warm conditions away from cold drafts,Moderate,Moderate humidity,6 to 10 ft indoors,Toxic or irritating if chewed by cats or dogs,Wipe leaves occasionally and rotate the pot for even growth
fiddle-leaf-fig,Fiddle-Leaf Fig,Ficus lyrata,Bright indirect light,Water when the top 2 inches of soil feel dry,Rich fast draining potting mix,Bright stable conditions with minimal sudden changes,Advanced,Moderate humidity,6 to 10 ft indoors,Toxic or irritating if chewed by cats or dogs,Keep light and watering routines consistent and avoid frequent moves
chinese-money-plant,Chinese Money Plant,Pilea peperomioides,Bright indirect light,Water when the top inch of soil feels dry,Light well draining houseplant mix,Bright rooms with regular rotation for even growth,Easy,Average home humidity,8 to 18 in indoors,Generally considered non toxic to cats and dogs,Rotate weekly and separate offsets when they are established
